Date,State,Total,Category,lag_1,lag_4,lag_12,rolling_mean_4,rolling_std_4,day_of_week,month,quarter,week_of_year,year,is_holiday,month_sin,month_cos,state_encoded
2022-11-20,Kentucky,165319823.4,Beverages,164839820.5,164783226.7,180785746.2,163860534.1125,1542294.2467719838,6,11,4,46,2022,0,-0.5000000000000004,0.8660254037844384,12
2022-11-27,Kentucky,163202263.89999998,Beverages,165319823.4,161908388.2,179273265.03333333,164184003.0375,1055135.3875355546,6,11,4,47,2022,0,-0.5000000000000004,0.8660254037844384,12
2022-12-04,Kentucky,164686184.79999998,Beverages,163202263.89999998,163374104.35,177760783.86666664,164512023.14999998,913928.1371903232,6,12,4,48,2022,0,-2.4492935982947064e-16,1.0,12
2022-12-11,Kentucky,166170105.7,Beverages,164686184.79999998,164839820.5,176248302.7,164844594.45,1252353.235773491,6,12,4,49,2022,0,-2.4492935982947064e-16,1.0,12
2022-12-18,Kentucky,167654026.6,Beverages,166170105.7,165319823.4,175430228.10000002,165428145.25,1915733.6442617849,6,12,4,50,2022,0,-2.4492935982947064e-16,1.0,12
2022-12-25,Kentucky,171908926.2,Beverages,167654026.6,163202263.89999998,173296429.76666668,167604810.825,3114727.8117203745,6,12,4,51,2022,0,-2.4492935982947064e-16,1.0,12
2023-01-01,Kentucky,154450235.0,Beverages,171908926.2,164686184.79999998,171162631.43333334,165045823.375,7470729.732499395,6,1,1,52,2023,0,0.49999999999999994,0.8660254037844387,12
2023-01-08,Kentucky,157169598.39999998,Beverages,154450235.0,166170105.7,169028833.1,162795696.54999998,8325743.898782078,6,1,1,1,2023,0,0.49999999999999994,0.8660254037844387,12
2023-01-15,Kentucky,159888961.79999998,Beverages,157169598.39999998,167654026.6,164783226.7,160854430.34999996,7696876.262471616,6,1,1,2,2023,0,0.49999999999999994,0.8660254037844387,12
2023-01-22,Kentucky,151381165.29999998,Beverages,159888961.79999998,171908926.2,161908388.2,155722490.125,3647800.3836738532,6,1,1,3,2023,0,0.49999999999999994,0.8660254037844387,12
2023-01-29,Kentucky,152849458.49999997,Beverages,151381165.29999998,154450235.0,163374104.35,155322296.0,3912134.932140292,6,1,1,4,2023,0,0.49999999999999994,0.8660254037844387,12
2023-02-05,Kentucky,155924084.1,Beverages,152849458.49999997,157169598.39999998,164839820.5,155010917.42499998,3762809.0337847755,6,2,1,5,2023,0,0.8660254037844386,0.5000000000000001,12
2023-02-12,Kentucky,158998709.70000002,Beverages,155924084.1,159888961.79999998,165319823.4,154788354.39999998,3385519.5848342716,6,2,1,6,2023,0,0.8660254037844386,0.5000000000000001,12
2023-02-19,Kentucky,162073335.30000004,Beverages,158998709.70000002,151381165.29999998,163202263.89999998,157461396.9,3969324.5815406353,6,2,1,7,2023,0,0.8660254037844386,0.5000000000000001,12
2023-02-26,Kentucky,163522695.4,Beverages,162073335.30000004,152849458.49999997,164686184.79999998,160129706.125,3379175.4477827176,6,2,1,8,2023,0,0.8660254037844386,0.5000000000000001,12
2023-03-05,Kentucky,167792483.96666667,Beverages,163522695.4,155924084.1,166170105.7,163096806.09166667,3654798.6221536575,6,3,1,9,2023,0,1.0,6.123233995736766e-17,12
2023-03-12,Kentucky,172062272.53333333,Beverages,167792483.96666667,158998709.70000002,167654026.6,166362696.8,4509016.334399092,6,3,1,10,2023,0,1.0,6.123233995736766e-17,12
2023-03-19,Kentucky,176332061.1,Beverages,172062272.53333333,162073335.30000004,171908926.2,169927378.25,5512273.336841654,6,3,1,11,2023,0,1.0,6.123233995736766e-17,12
2023-03-26,Kentucky,163351236.4,Beverages,176332061.1,163522695.4,154450235.0,169884513.5,5578942.602776783,6,3,1,12,2023,0,1.0,6.123233995736766e-17,12
2023-04-02,Kentucky,167107227.16666666,Beverages,163351236.4,167792483.96666667,157169598.39999998,169713199.29999998,5674302.873003528,6,4,2,13,2023,0,0.8660254037844387,-0.4999999999999998,12
2023-04-09,Kentucky,170863217.93333334,Beverages,167107227.16666666,172062272.53333333,159888961.79999998,169413435.65,5538895.921924454,6,4,2,14,2023,0,0.8660254037844387,-0.4999999999999998,12
2023-04-16,Kentucky,174619208.7,Beverages,170863217.93333334,176332061.1,151381165.29999998,168985222.54999998,4848963.229268941,6,4,2,15,2023,0,0.8660254037844387,-0.4999999999999998,12
2023-04-23,Kentucky,175063638.79999998,Beverages,174619208.7,163351236.4,152849458.49999997,171913323.14999998,3716969.41389059,6,4,2,16,2023,0,0.8660254037844387,-0.4999999999999998,12
2023-04-30,Kentucky,177480411.4,Beverages,175063638.79999998,167107227.16666666,155924084.1,174506619.20833334,2735005.1839681654,6,4,2,17,2023,0,0.8660254037844387,-0.4999999999999998,12
2023-05-07,Kentucky,177639774.06129032,Beverages,177480411.4,170863217.93333334,158998709.70000002,176200758.24032256,1581414.800328597,6,5,2,18,2023,0,0.49999999999999994,-0.8660254037844387,12
2023-05-14,Kentucky,177799136.72258064,Beverages,177639774.06129032,174619208.7,162073335.30000004,176995740.24596775,1294623.18571168,6,5,2,19,2023,0,0.49999999999999994,-0.8660254037844387,12
2023-05-21,Kentucky,177958499.38387096,Beverages,177799136.72258064,175063638.79999998,163522695.4,177719455.39193547,205736.3110383652,6,5,2,20,2023,0,0.49999999999999994,-0.8660254037844387,12
2023-05-28,Kentucky,178117862.0451613,Beverages,177958499.38387096,177480411.4,167792483.96666667,177878818.05322582,205736.31103824015,6,5,2,21,2023,0,0.49999999999999994,-0.8660254037844387,12
2023-06-04,Kentucky,178277224.70645162,Beverages,178117862.0451613,177639774.06129032,172062272.53333333,178038180.71451613,205736.31103811512,6,6,2,22,2023,0,1.2246467991473532e-16,-1.0,12
2023-06-11,Kentucky,178436587.36774194,Beverages,178277224.70645162,177799136.72258064,176332061.1,178197543.37580645,205736.31103799006,6,6,2,23,2023,0,1.2246467991473532e-16,-1.0,12
2023-06-18,Kentucky,178595950.02903226,Beverages,178436587.36774194,177958499.38387096,163351236.4,178356906.0370968,205736.31103786503,6,6,2,24,2023,0,1.2246467991473532e-16,-1.0,12
2023-06-25,Kentucky,178755312.69032258,Beverages,178595950.02903226,178117862.0451613,167107227.16666666,178516268.6983871,205736.31103775345,6,6,2,25,2023,0,1.2246467991473532e-16,-1.0,12
2023-07-02,Kentucky,178914675.3516129,Beverages,178755312.69032258,178277224.70645162,170863217.93333334,178675631.3596774,205736.31103764186,6,7,3,26,2023,0,-0.4999999999999997,-0.8660254037844388,12
2023-07-09,Kentucky,179074038.01290324,Beverages,178914675.3516129,178436587.36774194,174619208.7,178834994.02096772,205736.31103754375,6,7,3,27,2023,0,-0.4999999999999997,-0.8660254037844388,12
2023-07-16,Kentucky,179233400.67419356,Beverages,179074038.01290324,178595950.02903226,175063638.79999998,178994356.68225807,205736.31103743796,6,7,3,28,2023,0,-0.4999999999999997,-0.8660254037844388,12
2023-07-23,Kentucky,179392763.33548388,Beverages,179233400.67419356,178755312.69032258,177480411.4,179153719.3435484,205736.31103731293,6,7,3,29,2023,0,-0.4999999999999997,-0.8660254037844388,12
2023-07-30,Kentucky,179552125.9967742,Beverages,179392763.33548388,178914675.3516129,177639774.06129032,179313082.00483873,205736.31103718787,6,7,3,30,2023,0,-0.4999999999999997,-0.8660254037844388,12
2023-08-06,Kentucky,179711488.6580645,Beverages,179552125.9967742,179074038.01290324,177799136.72258064,179472444.66612902,205736.3110370763,6,8,3,31,2023,0,-0.8660254037844385,-0.5000000000000004,12
2023-08-13,Kentucky,179870851.31935483,Beverages,179711488.6580645,179233400.67419356,177958499.38387096,179631807.32741934,205736.31103696473,6,8,3,32,2023,0,-0.8660254037844385,-0.5000000000000004,12
2023-08-20,Kentucky,180030213.98064518,Beverages,179870851.31935483,179392763.33548388,178117862.0451613,179791169.9887097,205736.31103685894,6,8,3,33,2023,0,-0.8660254037844385,-0.5000000000000004,12
2023-08-27,Kentucky,180189576.6419355,Beverages,180030213.98064518,179552125.9967742,178277224.70645162,179950532.65,205736.31103673388,6,8,3,34,2023,0,-0.8660254037844385,-0.5000000000000004,12
2023-09-03,Kentucky,180348939.30322582,Beverages,180189576.6419355,179711488.6580645,178436587.36774194,180109895.31129032,205736.31103660885,6,9,3,35,2023,0,-1.0,-1.8369701987210297e-16,12
2023-09-10,Kentucky,180508301.96451613,Beverages,180348939.30322582,179870851.31935483,178595950.02903226,180269257.97258067,205736.3110364838,6,9,3,36,2023,0,-1.0,-1.8369701987210297e-16,12
